periode_data,wilayah,kecamatan,kelurahan,alamat,alamat_lengkap,nama_bank_sampah,kegiatan,status_kegiatan,keterangan,latitude,longtitude
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,RW 02 KELURAHAN ANCOL,"RW 02 KELURAHAN ANCOL, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",BANDAN RAPIH,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. KAMPUNG BANDAN,"JL. KAMPUNG BANDAN, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",BAROKAH RW 04 ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. ANCOL BARAT I,"JL. ANCOL BARAT I, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",BERSINAR RW 01 ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,RW 01 KELURAHAN ANCOL,"RW 01 KELURAHAN ANCOL, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",GOTONG ROYONG,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. ANCOL BARAT I,"JL. ANCOL BARAT I, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",KANTOR KELURAHAN ANCOL (BEIBE),PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. ANCOL BARAT III,"JL. ANCOL BARAT III, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",MASPEL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. LODAN DALAM II RW 08,"JL. LODAN DALAM II RW 08, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SAMLON,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. PARANGTRITIS VI NO. 2,"JL. PARANGTRITIS VI NO. 2, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SD 01 ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,TIDAK AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. KAMPUNG MUKA NO.419,"JL. KAMPUNG MUKA NO.419, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SD 03 ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,TIDAK AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. LODAN DALAM III,"JL. LODAN DALAM III, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SD FATAHILLAH ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,TIDAK AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. KAMPUNG BANDAN ANCOL,"JL. KAMPUNG BANDAN ANCOL, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SMP 113,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,TIDAK AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL.LODAN DALAM II,"JL.LODAN DALAM II, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",SMP FATAHILLAH ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,JL. LAPANGAN GOLF 7,"JL. LAPANGAN GOLF 7, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA,  DKI Jakarta, Indonesia",TELAGA SAMPIREUN ANCOL,PEMILAHAN PENGUMPULAN PENYIMPANAN PENGOLAHAN,AKTIF,BSU,-6.128115,106.8451374
